model,mode,warmup,steps,batch_size,context_length,bf16,mean_s,std_s,peak_mem_gib,analytical_flops,tflops_per_s,num_params,residual_stream_mib_fp32,ok,error
small,forward,5,10,4,512,False,0.043099674535915254,0.00012729002239904067,0.7116231918334961,533968453632,12.38915280408998,128625408,6.0,True,
small,forward_backward,5,10,4,512,False,0.13423298816196622,0.0003295305113901453,4.0613203048706055,1601905360896,11.933768165565477,128625408,6.0,True,
small,train,5,10,4,512,False,0.1461293370462954,0.00017207047787343011,5.037613868713379,1601905360896,10.96224340214791,128625408,6.0,True,
medium,forward,5,10,4,512,False,0.13120483946986497,0.00015280225882469413,1.8906631469726562,1794289696768,13.675484105752906,423183360,8.0,True,
medium,forward_backward,5,10,4,512,False,0.4060913765802979,0.000477644828748109,10.562091827392578,5382869090304,13.255314938310752,423183360,8.0,True,
medium,train,5,10,4,512,False,0.4427832582034171,0.000364718811219415,13.72054672241211,5382869090304,12.156893899161563,423183360,8.0,True,
large,forward,5,10,4,512,False,0.27502551437355577,0.0001300886216546467,4.103348731994629,4111172894720,14.948332717727286,969411840,10.0,True,
large,forward_backward,5,10,4,512,False,0.8686812154948711,0.0019750642081277163,20.264065742492676,12333518684160,14.197980184403814,969411840,10.0,True,
large,train,5,10,4,512,False,0.9562842827755957,0.001473816993582249,27.486746788024902,12333518684160,12.897334930949834,969411840,10.0,True,
xl,forward,5,10,4,512,False,0.8451873714569956,0.0011967114106184633,13.44880485534668,14192350330880,16.791957393322374,3406809600,20.0,True,
xl,forward_backward,5,10,4,512,False,2.6146032479591668,0.0075072582711819165,40.15270137786865,42577050992640,16.284325748418464,3406809600,20.0,True,
xl,train,5,10,4,512,False,2.904390554828569,0.008108532177211712,65.53675365447998,42577050992640,14.65954739518601,3406809600,20.0,True,
10B,forward,5,10,4,512,False,3.087879802426323,0.010415663910370717,48.79183769226074,53338963968000,17.273652920715545,12832823808,36.0,True,
10B,forward_backward,5,10,4,512,False,,,,160016891904000,,,,False,"OOM: CUDA out of memory. Tried to allocate 144.00 MiB. GPU 0 has a total capacity of 79.25 GiB of which 103.94 MiB is free. Including non-PyTorch memory, this process has 79.14 GiB memory in use. Of the allocated memory 78.28 GiB is allocated by PyTorch, and 372.92 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
