impl,dtype,d,seq,fwd_ms,bwd_ms,e2e_ms,ok,error,est_peak_gib,source
naive,float32,16,128,0.11745480352264141,0.5952267125835569,0.5190533000927466,True,,,main
flash_pytorch,float32,16,128,21.91528034210205,19.8755841255188,20.29805564880371,True,,,main
flash_triton,float32,16,128,0.013199530177716585,0.41616145335137844,0.41424454717259657,True,,,main
naive,float32,16,256,0.10268588920539998,0.50096419993788,0.48206380009651184,True,,,main
flash_pytorch,float32,16,256,73.28659057617188,83.56281280517578,83.30368041992188,True,,,main
flash_triton,float32,16,256,0.013059235419224694,0.4534352370316074,0.44301546696159577,True,,,main
naive,float32,16,512,0.1150642903473402,0.5212748793760935,0.5665727200345223,True,,,main
flash_pytorch,float32,16,512,331.6144714355469,304.0093078613281,325.2445068359375,True,,,main
flash_triton,float32,16,512,0.01757165261804818,0.46317980864218306,0.45719830428852754,True,,,main
naive,float32,16,1024,0.10184504505660799,0.5240081037793841,0.5204327917761273,True,,,main
flash_pytorch,float32,16,1024,1300.75341796875,1317.6759033203125,1200.093505859375,True,,,main
flash_triton,float32,16,1024,0.02528894294417065,0.48076159899885,0.46960542738786215,True,,,main
naive,float32,16,2048,0.1703605477668379,0.530972471131998,0.5391014492584884,True,,,main
flash_pytorch,float32,16,2048,5194.2216796875,5211.5478515625,5091.79150390625,True,,,main
flash_triton,float32,16,2048,0.04597200731826875,0.4532216600820321,0.4623984943417942,True,,,main
naive,float32,16,4096,0.6144319971402487,1.435856309591555,1.4315088287232414,True,,,main
flash_pytorch,float32,16,4096,19539.83984375,20516.484375,19064.099609375,True,,,main
flash_triton,float32,16,4096,0.08049589434650847,0.6596910541707819,0.609004060121683,True,,,main
naive,float32,16,8192,2.3607231974601746,5.405936002731323,5.406367990705702,True,,,main
flash_pytorch,float32,16,8192,77782.578125,78200.328125,76156.359375,True,,,main
flash_triton,float32,16,8192,0.22762507159174897,2.214975254876273,2.1250991488611977,True,,,main
naive,float32,32,128,0.10562235816467277,0.5176362834108157,0.526061463465051,True,,,main
flash_pytorch,float32,32,128,20.109715270996094,21.276912212371826,21.6758074760437,True,,,main
flash_triton,float32,32,128,0.015016516494586712,0.44424564663101646,0.44312580937113843,True,,,main
naive,float32,32,256,0.10226227595181815,0.5183565711433237,0.5093462141054981,True,,,main
flash_pytorch,float32,32,256,82.15042877197266,82.99046325683594,83.33570861816406,True,,,main
flash_triton,float32,32,256,0.013131866153714596,0.4558398146505301,0.44051004499197005,True,,,main
naive,float32,32,512,0.10729108204121714,0.5369004848276734,0.5292851699064978,True,,,main
flash_pytorch,float32,32,512,320.23077392578125,312.6309814453125,311.48486328125,True,,,main
flash_triton,float32,32,512,0.022219402061038222,0.4789031215252415,0.4616323598984922,True,,,main
naive,float32,32,1024,0.10962468570732808,0.5452595549049201,0.5492199504816974,True,,,main
flash_pytorch,float32,32,1024,1273.7130126953125,1255.811767578125,1281.9356689453125,True,,,main
flash_triton,float32,32,1024,0.03571914894017556,0.44980072848724595,0.46025957713215987,True,,,main
naive,float32,32,2048,0.17318149418177375,0.5349442068582926,0.5293103605508804,True,,,main
flash_pytorch,float32,32,2048,4769.06689453125,4769.1298828125,4814.6494140625,True,,,main
flash_triton,float32,32,2048,0.06278060097434,0.4984355562263065,0.47376297622226005,True,,,main
naive,float32,32,4096,0.6438062475062907,1.4811463259881543,1.4842043884338871,True,,,main
flash_pytorch,float32,32,4096,19450.052734375,19467.185546875,19308.595703125,True,,,main
flash_triton,float32,32,4096,0.11767363240372161,0.6864209232422022,0.6729549343387285,True,,,main
naive,float32,32,8192,2.4679890431855855,5.504796308629653,5.494751986335306,True,,,main
flash_pytorch,float32,32,8192,77127.609375,75880.328125,76890.0859375,True,,,main
flash_triton,float32,32,8192,0.3444032628559372,2.367335777024965,2.373909604549408,True,,,main
naive,float32,64,128,0.1033060803977934,0.5302641160678172,0.5307828410380129,True,,,main
flash_pytorch,float32,64,128,19.197433853149413,19.814559936523438,20.721328258514404,True,,,main
flash_triton,float32,64,128,0.013916915512632534,0.43967576890156185,0.4413986301553842,True,,,main
naive,float32,64,256,0.10210937369397598,0.5357512445569789,0.533941728649316,True,,,main
flash_pytorch,float32,64,256,75.88441467285156,80.0283203125,78.3691177368164,True,,,main
flash_triton,float32,64,256,0.019583792206111963,0.4768188223729726,0.4728027899251428,True,,,main
naive,float32,64,512,0.11248954903156176,0.5604491040624421,0.5619088407409819,True,,,main
flash_pytorch,float32,64,512,307.5436706542969,310.5364685058594,311.2440490722656,True,,,main
flash_triton,float32,64,512,0.02700128567337284,0.43873204676543964,0.3931922342693597,True,,,main
naive,float32,64,1024,0.13257557132081793,0.5390291984673519,0.5442859224684826,True,,,main
flash_pytorch,float32,64,1024,1197.39306640625,1193.59814453125,1205.6917724609375,True,,,main
flash_triton,float32,64,1024,0.04641060726769144,0.4619147811375611,0.46383478994979416,True,,,main
naive,float32,64,2048,0.20314455440532256,0.5429204227892976,0.5350563080080094,True,,,main
flash_pytorch,float32,64,2048,4750.87060546875,4780.478515625,4831.13232421875,True,,,main
flash_triton,float32,64,2048,0.08469271475249636,0.482394389324374,0.4771254553713582,True,,,main
naive,float32,64,4096,0.7514091437416417,1.8256428885459899,1.8294218100753485,True,,,main
flash_pytorch,float32,64,4096,19415.0390625,19304.232421875,18755.5,True,,,main
flash_triton,float32,64,4096,0.15939962003557456,1.0139749695273006,1.0167482814123465,True,,,main
naive,float32,64,8192,2.9153840243816376,7.073353877434363,7.06764554977417,True,,,main
flash_pytorch,float32,64,8192,75416.3984375,75565.0390625,76814.8984375,True,,,main
flash_triton,float32,64,8192,0.49380423005219476,4.073552744729178,3.757542428970337,True,,,main
naive,float32,128,128,0.09485561596637977,0.47551114931174204,0.49270991955189347,True,,,main
flash_pytorch,float32,128,128,19.444652557373047,20.101196670532225,19.535327911376953,True,,,main
flash_triton,float32,128,128,0.03599283424695597,1.8714978351042821,0.4351871180069911,True,,0.002,triton_d128_patch
naive,float32,128,256,0.10514393147940819,0.5032141110541658,0.5174091723633976,True,,,main
flash_pytorch,float32,128,256,77.05699157714844,77.83817291259766,77.08694458007812,True,,,main
flash_triton,float32,128,256,0.030095028657732264,0.49795694491727566,0.49912924277856485,True,,0.005,triton_d128_patch
naive,float32,128,512,0.10269878487497106,0.5146889214893039,0.515282287175611,True,,,main
flash_pytorch,float32,128,512,301.2338562011719,303.6302490234375,302.2510986328125,True,,,main
flash_triton,float32,128,512,0.04106180729125743,0.47431457830854684,0.4607121382834594,True,,0.014,triton_d128_patch
naive,float32,128,1024,0.13515513062315143,0.5206072886784872,0.5256747347693289,True,,,main
flash_pytorch,float32,128,1024,1204.158935546875,1185.235107421875,1202.7313232421875,True,,,main
flash_triton,float32,128,1024,0.07340593370608986,0.5726297830834108,0.5321928960876865,True,,0.043,triton_d128_patch
naive,float32,128,2048,0.3089174291651164,0.749305726850734,0.71942806799533,True,,,main
flash_pytorch,float32,128,2048,4803.0439453125,4708.10498046875,4772.3349609375,True,,,main
flash_triton,float32,128,2048,0.13760631235495005,0.6130206659436226,0.6114846040717269,True,,0.148,triton_d128_patch
naive,float32,128,4096,1.0562473848844185,2.582715544435713,2.583139565255907,True,,,main
